Designator,Footprint,Quantity,Value,LCSC Part #
"'""DIODE1, -_DIODE1, /?DIODE1, 0)DIODE1, 1!DIODE1, 2@DIODE1, 3#DIODE1, 4$DIODE1, 5%DIODE1, 6^DIODE1, 7&DIODE1, 8*DIODE1, 9(DIODE1, ;:DIODE1, <,DIODE1, =+DIODE1, >.DIODE1, ADIODE1, BACKSPACEDIODE1, BACKSPACEDIODE2, BDIODE1, CAPSLOCKDIODE1, CDIODE1, CMDDIODE1, CMDDIODE2, CONTROLDIODE1, DDIODE1, DELDIODE1, DELDIODE2, DOWNDIODE1, EDIODE1, ENTERDIODE1, ENTERDIODE2, ESCDIODE1, F10DIODE1, F11DIODE1, F12DIODE1, F1DIODE1, F2DIODE1, F3DIODE1, F4DIODE1, F5DIODE1, F6DIODE1, F7DIODE1, F8DIODE1, F9DIODE1, FDIODE1, FNDIODE1, GDIODE1, HDIODE1, IDIODE1, JDIODE1, KDIODE1, LDIODE1, LEFTDIODE1, MDIODE1, NDIODE1, ODIODE1, OPTIONDIODE1, PDIODE1, QDIODE1, RDIODE1, RIGHTDIODE1, SDIODE1, SHIFTDIODE1, SHIFTDIODE2, SHIFTDIODE3, SHIFTDIODE4, SPACEDIODE1, SPACEDIODE2, SPACEDIODE3, SPACEDIODE4, TABDIODE1, TDIODE1, UDIODE1, UPDIODE1, VDIODE1, WDIODE1, XDIODE1, YDIODE1, ZDIODE1, [{DIODE1, \|DIODE1, ]}DIODE1, `~DIODE1",Diode_DO-35,85,Diode,
"A, ALT/OPTION, ANGLE BRACKET, B, BACKSPACE, BLANK BACKSPACE, BLANK DELETE, BLANK ENTER, C, CHEVRON, CLOSED SQ. BRACKET, CONTROL, D, DASH, DELETE, DOWN ARROW, E, EIGHT, EQUALS, ESCAPE, F, F1, F10, F11, F12, F2, F3, F4, F5, F6, F7, F8, F9, FIVE, FOUR, FUNCTION, G, H, I, J, K, L, LEFT ARROW, M, N, NINE, O, ONE, OPEN SQ. BRACKET, P, Q, QUOTES, R, RIGHT, S, SEMI-COLON, SEVEN, SHIFT, SIX, SLASH, SUPER/COMMAND_2, SUPER/COMMAND, T, THREE, TILDE, TWO, U, UP ARROW, V, W, X, Y, Z, ZERO",Hotswap_Choc_V1_1.00u,74,Keyswitch,
"BACKSLASH, BLANK SHIFT, SPACE_4, SPACE_3, SPACE_2, SPACE, TAB",Hotswap_Choc_V1_1.50u,7,Keyswitch,
"BLANK SHIFT_2, ENTER, SHIFT_2",Hotswap_Choc_V1_1.25u,3,Keyswitch,
CAPS LOCK,Hotswap_Choc_V1_1.75u,1,Keyswitch,
J2,OLED_128x32,1,OLED_128x32,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
