Designator,Mid X,Mid Y,Rotation,Layer
"'""DIODE1",242.9,-117.3,90.0,bottom
-_DIODE1,228.6,-79.53375,90.0,bottom
/?DIODE1,242.6,-136.35,90.0,bottom
0)DIODE1,209.55,-79.53375,90.0,bottom
1!DIODE1,38.1,-79.53375,90.0,bottom
2@DIODE1,57.15,-79.53375,90.0,bottom
3#DIODE1,76.2,-79.53375,90.0,bottom
4$DIODE1,95.25,-79.53375,90.0,bottom
5%DIODE1,114.3,-79.53375,90.0,bottom
6^DIODE1,133.35,-79.53375,90.0,bottom
7&DIODE1,152.4,-79.53375,90.0,bottom
8*DIODE1,171.45,-79.53375,90.0,bottom
9(DIODE1,190.5,-79.53375,90.0,bottom
;:DIODE1,223.85,-117.3,90.0,bottom
"<,DIODE1",204.5,-136.35,90.0,bottom
=+DIODE1,247.65,-79.53375,90.0,bottom
>.DIODE1,223.55,-136.32,90.0,bottom
A,42.9875,-114.4,0.0,top
ADIODE1,52.4,-117.3,90.0,bottom
ALT/OPTION,47.625,-152.4,0.0,top
ANGLE BRACKET,214.3125,-133.35,0.0,top
B,138.1125,-133.35,0.0,top
BACKSLASH,271.2425,-95.25,0.0,top
BACKSPACE,276.225,-76.2,0.0,top
BACKSPACEDIODE1,266.7,-80.48625,90.0,bottom
BACKSPACEDIODE2,285.75,-80.9625,90.0,bottom
BDIODE1,147.35,-136.35,90.0,bottom
BLANK BACKSPACE,257.175,-76.2,0.0,top
BLANK DELETE,257.175,-57.15,0.0,top
BLANK ENTER,252.5375,-114.3,0.0,top
BLANK SHIFT_2,254.79375,-133.35,0.0,top
BLANK SHIFT,37.99375,-132.92,0.0,top
C,100.0125,-133.35,0.0,top
CAPS LOCK,16.66875,-114.3,0.0,top
CAPSLOCKDIODE1,30.44,-114.57,90.0,bottom
CDIODE1,109.25,-136.35,90.0,bottom
CHEVRON,195.2625,-133.35,0.0,top
CLOSED SQ. BRACKET,247.3625,-95.25,0.0,top
CMDDIODE1,76.2,-157.1625,90.0,bottom
CMDDIODE2,209.53,-157.37,90.0,bottom
CONTROL,28.575,-152.4,0.0,top
CONTROLDIODE1,38.1,-157.1625,90.0,bottom
D,81.0875,-114.3,0.0,top
DASH,219.075,-76.2,0.0,top
DDIODE1,90.5,-117.3,90.0,bottom
DELDIODE1,266.7,-60.48375,90.0,bottom
DELDIODE2,285.75,-61.9125,90.0,bottom
DELETE,276.225,-57.15,0.0,top
